"fichier";"annee";"type";"sens";"valeur";"valeur_avant";"valeur_apres";"evolution";"evolution_pct";"distance";"contexte"
"7_cri_1982-1983-ordinaire1_057.txt";"1982";"evolution_pct";"accroissement";"5.34";"";"";"";"";"101";"s pour 1983 prévoit que les effec- tifs' budgétaires passeront à ,2 519 780 -- plus 25 604, soit 1,03 p. 100. Par rapport aux effectifs budgétaires prévus par la loi de finances initiale pour 1981, l'accroissement que sanc- tionne le projet de budget pour 1983 s'établit à 127 750, c'est-à- dire plus"
"7_cri_1982-1983-ordinaire1_057.txt";"1982";"evolution_pct";"accroissement";"12.0";"";"";"";"";"88";"tre poursuivies sans relâche. Qmt'en est-il de ces objectifs dans le projet e.e budget que .-tous examinons ? Hélas, les chiffres permettent de porter un diagnostic sans appel ! Comme l'an dernier, l'accroissement des crédits est nettement inférieur à celui du budget général de 1'Etat : 12 p. 100 co"
"7_cri_1982-1983-ordinaire1_057.txt";"1982";"evolution_pct";"accroissement";"8.0";"";"";"";"";"125";"tre poursuivies sans relâche. Qmt'en est-il de ces objectifs dans le projet e.e budget que .-tous examinons ? Hélas, les chiffres permettent de porter un diagnostic sans appel ! Comme l'an dernier, l'accroissement des crédits est nettement inférieur à celui du budget général de 1'Etat : 12 p. 100 co"
"7_cri_1982-1983-ordinaire1_057.txt";"1982";"evolution_pct";"réduction";"14.0";"";"";"";"";"126";"I.1 est donc clair que le développement de l'outre-mer ne constitue plus une priorité dans l'ordre des préoccupations nationales. A observer ce budget de plus près, on ne peut qu 'être frappé par la réduction des ressources consacrées au développement des départements et territoires d'outre-mer . La"
"7_cri_1982-1983-ordinaire1_057.txt";"1982";"evolution_pct";"augmentation";"10.0";"";"";"";"";"265";"1982 6793 tariat d'Etat de 150 postes pour le service militaire adapté, précédemment inscrits dans le budget du ministère de la défense? S'agissant des dépenses d'investissement, l'affirmation d'une augmentation globale de 17,68 p. 100 en autorisations de pro- gramme ne me parait qu'un engagement fi"
"7_cri_1982-1983-ordinaire1_057.txt";"1982";"evolution_pct";"diminution";"17.68";"";"";"";"";"187";"de 150 postes pour le service militaire adapté, précédemment inscrits dans le budget du ministère de la défense? S'agissant des dépenses d'investissement, l'affirmation d'une augmentation globale de 17,68 p. 100 en autorisations de pro- gramme ne me parait qu'un engagement fictif car les crédits de "
"7_cri_1982-1983-ordinaire1_057.txt";"1982";"evolution_pct";"augmentation";"62.0";"";"";"";"";"214";"en 1981. Au total, 180,7 millions de francs ont été versés au cours des six premiers mois de cette année, contre 183,3 pour toute l'année 1981. Les cotisations ont couvert ces versements à hauteur de 62 p. 100 en 1981, ce qui pose à terme un problème de finan- cement, la participation de l'Etat étan"
"7_cri_1982-1983-ordinaire1_057.txt";"1982";"evolution_pct";"augmentation";"26.0";"";"";"";"";"92";"r toute l'année 1981. Les cotisations ont couvert ces versements à hauteur de 62 p. 100 en 1981, ce qui pose à terme un problème de finan- cement, la participation de l'Etat étant en principe égale à 26 p. 100, comme en métropole, et à 33 p . 100 en cas d'accroisse- ment des dépenses dû à l'augmenta"
"7_cri_1982-1983-ordinaire1_057.txt";"1982";"evolution_pct";"progression";"23.3";"";"";"";"";"175";"our 1983 correspondent à cinq actions : L'administration générale, c'est-à-dire essentiellement l'admi- nisir'ation centrale et les services extérieurs, absorbe, avec plus de 95,6 millions de francs, 23,3 p. 100 du montant total des dépenses. Les crédits consacrant la participation de l'Etat aux bud"
"7_cri_1982-1983-ordinaire1_057.txt";"1982";"evolution_pct";"augmentation";"8.3";"";"";"";"";"64";"la régression des ci'. lit, iu Bureau de recherches géolo- giques et minières .. En réponse à une question récente, le ministre d'Etat, ministre de la recherche et de l'industrie, reconnaissait que l'augmentation des crédits alloués au B. R. G. M. serait limité à 8,3 p. 100 dans la loi de finances p"
"7_cri_1982-1983-ordinaire1_057.txt";"1982";"evolution_pct";"augmentation";"30.0";"";"";"";"";"149";"la régression des ci'. lit, iu Bureau de recherches géolo- giques et minières .. En réponse à une question récente, le ministre d'Etat, ministre de la recherche et de l'industrie, reconnaissait que l'augmentation des crédits alloués au B. R. G. M. serait limité à 8,3 p. 100 dans la loi de finances p"
