fichier;annee;pourcentage;contexte
2_cri_1966-1967-ordinaire1_021.txt;1966;18;on est conduit à s'interroger : comment, au cours du IV' Plan et avec un taux de subvention de 40 p . 100 dans la plupart des cas, le rapport .entre le montant total des sub- ventions et le montant total des travaux réalisés a-t-il pu s'éta- blir à 18 p. 100 ? Eh bien! c'est parce que des travaux relati- vements importants ont été réalisés sans subvention : ils ont été financés avec les fonds propres des collectivités et des com- missions administratives, grâce à la vente d'une partie du patrim
2_cri_1966-1967-ordinaire1_021.txt;1966;40;que je puis et ce que je dois faire, c'est indiquer en quels termes le problème pourra se poser. Le financement des constructions hospitalières, de la plupart d'entre-elles en tout cas, a été assuré, dans le passé, par une subvention de l'Etat pour 40 p. 100 des travaux . une contri- bution de la sécurité sociale pour 30 p. 100, le reste — 30 p. 100 — était fourni par l 'établissement lui-même, qui pouvait recevoir des subventions des collectivités locales, le produit d'un emprunt ou de la vent
2_cri_1966-1967-ordinaire1_021.txt;1966;30;problème pourra se poser. Le financement des constructions hospitalières, de la plupart d'entre-elles en tout cas, a été assuré, dans le passé, par une subvention de l'Etat pour 40 p. 100 des travaux . une contri- bution de la sécurité sociale pour 30 p. 100, le reste — 30 p. 100 — était fourni par l 'établissement lui-même, qui pouvait recevoir des subventions des collectivités locales, le produit d'un emprunt ou de la vente de certains biens. On me demande s'il en sera toujours ainsi dans l'a
2_cri_1966-1967-ordinaire1_021.txt;1966;30;ser. Le financement des constructions hospitalières, de la plupart d'entre-elles en tout cas, a été assuré, dans le passé, par une subvention de l'Etat pour 40 p. 100 des travaux . une contri- bution de la sécurité sociale pour 30 p. 100, le reste — 30 p. 100 — était fourni par l 'établissement lui-même, qui pouvait recevoir des subventions des collectivités locales, le produit d'un emprunt ou de la vente de certains biens. On me demande s'il en sera toujours ainsi dans l'avenir ? F . l'on me di
2_cri_1966-1967-ordinaire1_021.txt;1966;30;n que pourra consentir la sécurité sociale ne croitra probablement pas aussi rapidement que le volume des travaux inscrits au V' Plan et que, par conséquent, un pro• blême de financement se posera. On se demande également si, pour le financement des 30 p. 100 restant, les collectivités locales pourront emprunter à des conditions convenables, et qui ultérieurement ne chargent - pas trop les prix de journée ? Vous savez l'effort que le Gouvernement a fait cette année même : grâce à la création d'u
2_cri_1966-1967-ordinaire1_021.txt;1966;25;p les prix de journée ? Vous savez l'effort que le Gouvernement a fait cette année même : grâce à la création d'une caisse spéciale, le total des sommes mises à la disposition des collectivités locales au titre de l'emprunt en 1967 sera supérieur de 25 p. 100 environ à ce qu 'il a été en 1966. D reste — et là, M . le secrétaire d'Etai au budget voudra bien m'excuser si j'aborde un point qui dépasse quelque peu les compétences de mon ministère — il reste que non seulement dans le domaine qui nous
2_cri_1966-1967-ordinaire1_021.txt;1966;40;tion a problème des abattements de zoner recouvre des questions assez différentes et parfois confondues. Un orateur a fait observer qu'entre les salaires des ouvriers parisiens et ceux du Poitou ou du Limousin la différence était de l'ordre de 30 ou 40 p. 100. C'est une différence géographique de salaires, mais qui, dans le régime de liberté des salaires qui est le nôtre, n'a rien à voir avec le problème précis des abattements de zone. M. André Fanton . Très bien ! M. le ministre des affaires so
2_cri_1966-1967-ordinaire1_021.txt;1966;20;de zone en matière d'allocations familiales. Le problème des zones de S . M. I. G. est fondamentalement différent. Lorsque les abattements de zones de S. M. I. G. ont été créés, en 1945, l'écart total était de 20 p . 100. Cet écart total, de zéro à 20 p. 100, correspondait à peu près aux écarts géogra- phiques des rémunérations effectives . Cela était nécessaire à une époque où, je le rappelle, tous les salaires étaient régle- mentés et, théoriquement du moins, fixés par arrêtés. Du jour où, au
2_cri_1966-1967-ordinaire1_021.txt;1966;6.6;erre Bas, rapporteur spécial. Mesdames, messieurs, le budget du ministère d'Etat chargé des départements d'outre-mer n'est pas un budget d'opulence : 237 millions de francs de crédits de paiement contre 222 millions en 1966, soit une augmentation de 6,6 p. 100, inférieure à la progression moyenne des charges définitives du budget de l'Etat, qui est de 10,6 p. 100. Pour les dépenses ordinaires, la progression est faible: 1.700.000 francs de mesures nouvelles, qui ne correspondent en réalité, quan
2_cri_1966-1967-ordinaire1_021.txt;1966;10.6;d'outre-mer n'est pas un budget d'opulence : 237 millions de francs de crédits de paiement contre 222 millions en 1966, soit une augmentation de 6,6 p. 100, inférieure à la progression moyenne des charges définitives du budget de l'Etat, qui est de 10,6 p. 100. Pour les dépenses ordinaires, la progression est faible: 1.700.000 francs de mesures nouvelles, qui ne correspondent en réalité, quand on les examine de près, à aucune amélio- ration de l'activité des services ou de la situation des pers
2_cri_1966-1967-ordinaire1_021.txt;1966;20;la production des cinq dernières années pour chacune des usines des départements d'outre-mer bénéficiera du prix d'intervention que nous avons déjà mentionné et qui, compte tenu des indica- tions en notre possession, sera en augmentation de près de 20 p. 100 par rapport aux prix pratiqués en ce moment . Ce sera donc très substantiel. Mais l'élément capital pour les producteurs de sucre des Antilles et de la Réunion a résidé dans le fait que les ministres de la Communauté ont décidé que les dépa
2_cri_1966-1967-ordinaire1_021.txt;1966;5;islations qui devra être entreprise dans le cadre de la Communauté économique européenne . Je vous en remercie . Vous rencontrerez des difficultés, car les Allemands ont l'habitude de vendre sous le nom de rhum un produit affreux qui ne contient que 5 p. 100 de vrai rhum. Mais nous avons fait le Marché commun et il faut bien qu'il serve à quelque chose, ne serait-ce qu'à modifier les législations quand elles sont mauvaises. Il est capital, pour nos trois départements producteurs, que le marché e
2_cri_1966-1967-ordinaire1_021.txt;1966;32;mesure capitale. Enfin, il faut garder présent à l'esprit, pour connaître la réelle dimension de l'effort fourni, que de 1961 à 1965 le produit intérieur brut des trois départements insulaires a 'augmenté dans des proportions considérables, de 28 à 32 p. 100. Il convient cependant d'indiquer que la hausse démogra- phique rapide que connaissent ces départements annule en partie ces résultats brillants. Calculée par tête, c'est-à-dire compte tenu de l'augmentation de la population, la hausse du p
2_cri_1966-1967-ordinaire1_021.txt;1966;30;ndant, à mon avis, la Guyane atteindra très rapidement la moyenne nationale. Son économie avait déjà connu un essor important au cours du IV' Plan. Je disais tout à l'heure que le produit intérieur brut des trois départements insulaires avait crû de 30 p. 100 en moyenne de 1961 à 1965. Pour la Guyane, cette croissance a été de 70 p. 100. Compte tenu de la hausse démographique, la pro- gression a été de 38 p. 100 contre 15 p. 100 en moyenne dans les trois îles si bien que le produit intérieur bru
2_cri_1966-1967-ordinaire1_021.txt;1966;70;n économie avait déjà connu un essor important au cours du IV' Plan. Je disais tout à l'heure que le produit intérieur brut des trois départements insulaires avait crû de 30 p. 100 en moyenne de 1961 à 1965. Pour la Guyane, cette croissance a été de 70 p. 100. Compte tenu de la hausse démographique, la pro- gression a été de 38 p. 100 contre 15 p. 100 en moyenne dans les trois îles si bien que le produit intérieur brut par habitant était en 1965 de plus de 4.400 francs métropolitains en Guyane c
