"fichier";"annee";"nature";"valeur";"score";"confiance";"contexte"
"5_cri_1974-1975-ordinaire1_046.txt";"1974";"etat";"10000.0";"5";"moyen";"sister beaucoup sur ce point, considère qu'il s'agit là d'une anomalie extraordinaire sur laquelle je demande au Gouverne- ment de se pencher . Pensez-vous qu'il soit normal, monsieur le secrétaire d'Etat, que 10 000 Français des départements d'outre- mer soient accueillis en métropole chaque année,"
"5_cri_1974-1975-ordinaire1_046.txt";"1974";"etat";"1975.0";"8";"proche";"s essentiellement à accroitre le nombre de classes maternelles dont le besoin m'était apparu plus pressant que d'autres au cours de mes voyages dans ces départements. Les subventions du secrétariat d'Etat aux universités permet- tront aussi, en 1975, de poursuivre la réalisation d'équipements import"
"5_cri_1974-1975-ordinaire1_046.txt";"1974";"etat";"1970.0";"5";"moyen";"mploi en métropole sont au centre des préoccupations du Gouvernement. Pour ce qui est du tourisme, qui n 'est certes pas une panacée — et vous avez eu bien raison de le dire, monsieur le secrétaire d'Etat — je me bornerai à citer un extrait du rapport présenté en 1970 par M. Louis Sailé au nom de la"
"5_cri_1975-1976-ordinaire1_058.txt";"1975";"etat";"1974.0";"3";"large";"s forte d'Europe . La France, seul pays producteur de la Communauté, a dû. en conséquence, organiser son économie bananière autour de cette dérogation exorbitante. Mais une récente circulaire faisant état de l'arrêt Charmasson rendu le 28 juin 1974, contre l'avis des experts, par la Cour de justice "
"5_cri_1975-1976-ordinaire1_058.txt";"1975";"etat";"1975.0";"4";"moyen";"impréparation. Qu'on en juge : pour implanter dans cette terre difficile, soumise au climat équatorial, plusieurs milliers de Français de métropole ou d'outre-mer, vous avez, monsieur le secrétaire d'Etat, demandé le 21 août 1975 au service du B . D. P. A. de Paris deux études : l'une doit vous être"
"5_cri_1975-1976-ordinaire1_058.txt";"1975";"etat";"1975.0";"5";"moyen";"exemple que j'incite nos collègues à suivre. M. Guy Ducoloné. Il n'a fait que tripler son temps de parole ! M. le président . La parole est à M. Riviérez. M. Hector Riviérez, Monsieur le secrétaire d'Etat, l'année 1975 a été dominée par le bond qui a été fait sur le plan de .'a départementalisation "
"5_cri_1975-1976-ordinaire1_058.txt";"1975";"etat";"10000.0";"4";"moyen";"landaise, devenue le Surinam, peuplée de 419 000 habitants. on comprend la nécessité d'un peuplement pour le développement économique de la Guyane française. Vous avez parlé, monsieur le secrétaire d'Etat, de la création de 10 000 emplois en cinq ans . Eeidemment, pareille déclaration a produit un c"
"5_cri_1975-1976-ordinaire1_058.txt";"1975";"etat";"1976.0";"4";"moyen";"l'occurrence, il avait fait montre d'un esprit spéculatif au détriment des Français qui sont allés mourir en Guyane, et nous en subissons encore les conséquences aujourd'hui. Monsieur le secrétaire d'Etat, qu'allez-vous faire en 1976 ? Qu nd ces émigrés partiront-ils, comment et pourquoi ? Il n'est "
"5_cri_1975-1976-ordinaire1_058.txt";"1975";"etat";"1976.0";"5";"moyen";"nsferts, mais celui des politiques à mettre en oeuvre. des perspectives à moyen et à long terme à tracer ainsi que du cadre administratif dans lequel elles s'exercent. Ainsi, monsieur le secrétaire d'Etat, rien dans votre projet de budget pour 1976 ne permet d'inférer que seront tenues les promesses"
"5_cri_1975-1976-ordinaire2_035.txt";"1975";"etat";"1976.0";"5";"moyen";"blissements qui étaient en grève. Si elle connaît, certes, la fin normale d'un certain nombre de chantiers de travaux publics, d'autres se sont ouverts ou vont s'ouvrir, les seules interventions de l'Etat en 1976 devant s'élever à 114 mil- lions de francs dans le secteur du bâtiment et 54 millions d"
"5_cri_1976-1977-ordinaire1_061.txt";"1976";"etat";"1977.0";"10";"strict";"s au Journal officiel. -4 MISE AU POINT AU SUJET D'UN VOTE M. le président. La parole est à M. Duroure. M. Roger Duroure . Dans le scrutin n° 403 du 15 novembre 1976 sur les crédits du titre III de l'état B du projet de loi de finances pour 1977 — budget du travail — mon collègue Alain Bonnet a été "
"5_cri_1976-1977-ordinaire1_061.txt";"1976";"etat";"1339.0";"8";"proche";"tisée par un programme d'action prioritaire dont la première année d'exécution s'annonce relativement conforme à l'échéancier initial. Pour les deux premières années d'exécution, la contribution de l'Etat aura été de 564 millions de francs sur les 1 339 millions de francs prévus pour les cinq ans, s"
"5_cri_1976-1977-ordinaire1_062.txt";"1976";"etat";"2000.0";"5";"moyen";"nvestissaient leurs capitaux dans des affaires métropolitaines, à développer de petites entreprises locales qui emploient de vingt à trente ouvriers. En deux ans, à ia Martinique, l'aide normale de l'Etat a permis de créer plus de 2 000 emplois dans des entreprises très diverses et d'ailleurs parfoi"
"5_cri_1976-1977-ordinaire2_024.txt";"1976";"etat";"1973.0";"10";"strict";"utaires de la caisse nationale de retraites des agents des collectivités locales les dispositions énoncées à l'article 12 de la loi n"" 73-1128 du 21 décembre 1973 en faveur des fonction- naires de l 'Etat, dispositions entrées en vigueur le 25 décembre 1973. Il lui souligne que le susdit décret a, s"
"5_cri_1976-1977-ordinaire2_024.txt";"1976";"collectivites";"1128.0";"7";"proche";"3. — 4 mai 1977. — M. Durieux expose à M. le Premier ministre (Fonction publique) que le décret n° 74-844 du 7 octobre 1974 a étendu aux tributaires de la caisse nationale de retraites des agents des collectivités locales les dispositions énoncées à l'article 12 de la loi n"" 73-1128 du 21 décembre 1"
"5_cri_1976-1977-ordinaire2_051.txt";"1976";"etat";"1974.0";"3";"large";"e l 'Etat au régime local d 'assurance accidents agricoles en vigueur dans les départe . monts du Rhin et de la Moselle n'est toujours pas résolu . Elle souligne que la participation financière de l 'Etat à ce régime est toujours au même niveau qu 'en 1974, alors que les charges des caisses d 'assur"
"5_cri_1977-1978-ordinaire1_035.txt";"1977";"etat";"1977.0";"6";"moyen";"troi de mer pour alimenter les finances locales qui ne couvraient, jusqu'à la prise en charge directe par l'Etat, qu'une part très faible de la rémunération des fonctionnaires. L'aide financière de l'Etat, déjà importante en 1977, le sera encore davantage en 1978. En effet, le premier budget de ce d"
"5_cri_1977-1978-ordinaire1_035.txt";"1977";"etat";"1976.0";"6";"moyen";"ortante en 1977, le sera encore davantage en 1978. En effet, le premier budget de ce département, arrêté d'office par décision ministérielle du 13 mars dernier, accusait un déficit de 21 millions . L'Etat avait prévu, en 1976, une subvention de 5 100 000 francs . La subvention sera doublée en 1978 e"
"5_cri_1977-1978-ordinaire1_035.txt";"1977";"collectivites";"1977.0";"6";"moyen";"axant son effort sur l'assistance technique et éducative, sur le développement de l'agriculture et de l'élevage et sur l'amélioration des moyens de communication. L'aide financière consacrée à cette collectivité en 1977 est substantielle. Elle se monte à 26 millions de francs pour les seuls investis"
"6_cri_1978-1979-extraordinaire2_006.txt";"1978";"collectivites";"250000.0";"3";"large";"ètre-carré dans les cantons ruraux . Dans les prochaines années, il n'y en aura plus que quatorze tout simplement . La dépopulation rurale doit continuer. Il y a , main- tenant un quart de siècle, la région comptait 250000 actifs agri- coles. Il n'y en a plus que 90000. Sion les prévisions, on tom- "
"6_cri_1978-1979-extraordinaire2_006.txt";"1978";"collectivites";"14000.0";"3";"large";"sident de la République nous annonce ce programme ! Croyez-moi, nies chers collègues, il n'a pas produit les miracles que l'on en attendait . Lorsque le Président de la République est venu au Puy, la région d'Auvergne comptait 14 000 chômeurs. Trois ans plus tard, au mois d'octo- bre dernier, il y e"
"6_cri_1978-1979-ordinaire1_025.txt";"1978";"collectivites";"150000.0";"3";"large";"sont venues s'ajouter der- nièrement des mesures restrictives entraînant des compressions de personnel. C 'est ainsi que, pour terminer l 'année 1978 dans des conditions normales, il manque, dans la région considérée et pour le seul service postal, -150000 heures d 'auxiliaires. Si des dispositions "
"6_cri_1978-1979-ordinaire1_025.txt";"1978";"collectivites";"1978.0";"5";"moyen";"ordée à la direction régionale ensuite un contingent SEANCE DU 19 OCTOBRE 1973 supplémentaire- de 60 000 heures lui a été alloué pour les - besoins des trots derniers mois de l 'année. Au total, la région de Nantes aura donc disposé en 1978 de moyens en personnel auxiliaire supé- rieurs aux années p"
"6_cri_1978-1979-ordinaire1_025.txt";"1978";"collectivites";"1978.0";"5";"moyen";"un accroissement important de l 'utilisation du personnel auxiliaire de remplacement. Cette situation ayant pro- voqué dis le mois d 'août un dépassement des autorisations budgé- taires données à la région de Nantes pour 1978, l 'administration a pris des mesures pour permettre aux services de conti"
"6_cri_1978-1979-ordinaire1_025.txt";"1978";"collectivites";"1978.0";"5";"moyen";"a situation passée a été accordée à la direction régionale ensuite un contingent supplémentaire de 600(11) heures lui a été alloué pour les besoins des trois derniers mois de l 'année. Au total, la région de Nantes aura donc disposé en 1978 de .moyens en personnel auxiliaire supérieurs aux années pr"
"6_cri_1978-1979-ordinaire1_050.txt";"1978";"etat";"1515675000.0";"8";"proche";"s . » ETAT C Répartition des autorisations de programme et des crédits de paiement applicables aux dépenses en capital des services ciel (mesures nouvelles). TITRE V. — INVESTISSEMENTS EXÉCUTÉS PAR L'ETAT « Autorisations de programme, 1 515 675 000 francs s Crédits de paiement, 1 016 444 000 francs,"
"6_cri_1978-1979-ordinaire1_050.txt";"1978";"etat";"17625000.0";"8";"proche";"V. — INVESTISSEMENTS EXÉCUTÉS PAR L'ETAT « Autorisations de programme, 1 515 675 000 francs s Crédits de paiement, 1 016 444 000 francs, » TITRE VI. — SUBVENTIONS D'INVESTISSEMENT ACCORDÉES PAR L ' ETAT e Autorisations de programme, 17 625 000 francs e Crédits de paiement, 10 275 000 francs . » Pers"
"6_cri_1978-1979-ordinaire1_050.txt";"1978";"etat";"1979.0";"4";"moyen";"mais également aux contraintes sociales que nous imposent les nombreux travailleurs qui en sont originaires auxquels doivent être consentis des tarifs réduits pour retourner au pays. Or, l'aide de l'Etat prévue pour 1979 nous paraît insuffisante. Notre amendement a donc pour objet d'inviter le Gouve"
"6_cri_1978-1979-ordinaire1_056.txt";"1978";"etat";"1979.0";"2";"large";"Mais la construction d'équipements supplémentaires ne suffit pas : il faut que chacun sache à quel type de vacances il peut accé- der. A cette action d'information très personnalisée, le budget de l'Etat consacrera, en 1979, plus de cinq millions de francs. Au total, mesdames, messieurs les députés,"
"6_cri_1978-1979-ordinaire1_056.txt";"1978";"etat";"37792000.0";"5";"moyen";"AT C Répartition des autorisations de programme et des crédits de paiement applicables atcr dépenses en capital des services civils . (Mesures nouvelles .) TITRE V . — INVESTISSEMENTS EXÉCUTÉS PAR L 'ETAT « Autorisations de programme : 37 792 000 francs e Crédits de paiement : 21 500 000 francs . u "
"6_cri_1978-1979-ordinaire1_056.txt";"1978";"etat";"41465000.0";"5";"moyen";"— INVESTISSEMENTS EXÉCUTÉS PAR L 'ETAT « Autorisations de programme : 37 792 000 francs e Crédits de paiement : 21 500 000 francs . u TITRE VI . — SUD'VENTIONS D ' INVESTISSEMENT ACCORDÉES PAR L ' ETAT « Autorisations de programme : 41 465 000 francs « Crédits de paiement : 10 200 000 francs. Person"
"6_cri_1978-1979-ordinaire1_056.txt";"1978";"etat";"1979.0";"0";"large";"veloppement qui supposent l'exer- cice d'une solidarité nationale vigilante, laquelle s 'exprime dans le grand projet de la départementalisation. Une question se pose alors : l'action financière de l'Etat en 1979 donne-t-elle un suppo rt solide à ce grand projet'. M. Benjamin Brial . Voilà la questi"
"6_cri_1978-1979-ordinaire1_056.txt";"1978";"etat";"1979.0";"2";"large";"tre-mer. Malgré son importance pour le financement des charges parti- culières à l'outre-mer, ce budget ne représente, en effet, qu'une part de plus en plus résiduelle dans . l'action financière de l'Etat : en 1979, le budget du secrétariat d'Etat ne devrait finan- cer que 6 p. 100 des dépenses cons"
"6_cri_1978-1979-ordinaire1_056.txt";"1978";"etat";"7645.0";"2";"large";"es techniques s'établit en autorisa- tions de programme à 876 millions de francs contre 825 millions de francs en 1978, en augmentation, par conséquent, de 6,1 p . 100. L'effort global du budget de l'Etat, en équipement et en fonctionnement, tous ministères confondus, passera de 7 645 mil- lions de "
"6_cri_1978-1979-ordinaire1_058.txt";"1978";"etat";"1978.0";"7";"proche";"demande de bien vouloir lui faire connaître sa position à l'égard du problème ainsi évoqué . Téléphone (tarifs). 8656 . — 16 novembre 1978. — M. Joël Le Tee appelle l'attention de M. le secrétaire d'Etat aux postes et télécommunications sur l'arrêté du 29 septembre 1978 (Journal officiel, lois et dé"
"6_cri_1978-1979-ordinaire1_106.txt";"1978";"etat";"1975.0";"0";"large";"ce qui est du pourcentage d 'accès à l 'emploi de contremaître principal ne pourrait donc être mise en oeuvre que si une telle mesure était au préalable instituée pour !es emplois des services de l 'Etat dont ln situation a été réglée par le décret n"" 75-883 du 23 septembre 1975 et l'arrêté portant "
"6_cri_1978-1979-ordinaire2_017.txt";"1978";"recettes_propres";"1966.0";"6";"moyen";"ation de l 'action sociale. Impôt sur le revenu (bénéfices industriels et commerciaux). 15477. — 26 avril 1979 . — M . Jean-Pierre Abelin demande à M. le ministre de !rvdget : 1"" si la fraction de la cotisation d'assurance maladie obligatoire prévue par la loi du 12 juillet 1966 modifiée afférente à"
"6_cri_1979-1980-ordinaire1_044.txt";"1979";"etat";"4760000.0";"9";"proche";"s ETAT C Répartition des autorisations de programme et des crédits de paiement applicables aux dépenses en capital des services civils. (Mesures nouvelles.) TITRE V. — INVESTISSEMENTS EXÉCUTÉS PAR L'ETAT « Autorisations de programme : 4 760 0000 francs e Crédits de paiement : 3 393 000 francs . » TI"
